symbol,time,open,high,low,close,volume
EURAUD,2024-01-09 21:27:03.631199,1.63166,1.632,1.63166,0,0
AUDJPY,2024-01-09 21:27:03.631199,96.988,97.009,96.988,0,0
EURAUD,2024-01-09 21:27:03.631199,1.63171,1.63204,1.63171,0,0
AUDJPY,2024-01-09 21:27:03.631199,96.998,97.023,96.998,0,0
EURAUD,2024-01-09 21:27:03.631199,1.63207,1.63243,1.63207,0,0
AUDJPY,2024-01-09 21:27:03.631199,97.008,97.031,97.008,0,0
EURAUD,2024-01-09 21:27:03.631199,1.63202,1.63234,1.63202,0,0
AUDJPY,2024-01-09 21:27:03.631199,97.007,97.031,97.007,0,0
EURAUD,2024-01-09 21:27:03.631199,1.63174,1.63206,1.63174,0,0
AUDJPY,2024-01-09 21:27:03.631199,97.033,97.056,97.033,0,0
EURAUD,2024-01-09 21:27:03.631199,1.63174,1.6321,1.63174,0,0
AUDJPY,2024-01-09 21:27:03.631199,97.037,97.059,97.037,0,0
EURAUD,2024-01-09 21:27:03.631199,1.63206,1.63242,1.63206,0,0
AUDJPY,2024-01-09 21:27:03.631199,97.03,97.052,97.03,0,0
EURAUD,2024-01-09 21:27:03.631199,1.63196,1.63234,1.63196,0,0
AUDJPY,2024-01-09 21:27:03.631199,97.024,97.046,97.024,0,0
EURAUD,2024-01-09 21:27:03.631199,1.63224,1.63258,1.63224,0,0
AUDJPY,2024-01-09 21:27:03.631199,97.014,97.036,97.014,0,0
EURAUD,2024-01-09 21:27:03.631199,1.63212,1.63244,1.63212,0,0
AUDJPY,2024-01-09 21:27:03.631199,97.02,97.043,97.02,0,0
EURAUD,2024-01-09 21:27:03.631199,1.63218,1.63254,1.63218,0,0
