symbol,time,open,high,low,close,volume
USDJPY,2024-01-10 00:11:13.798664,144.836,144.856,144.836,0,0
EURJPY,2024-01-10 00:11:13.798664,158.325,158.345,158.325,0,0
GBPUSD,2024-01-10 00:11:13.798664,1.27018,1.27037,1.27018,0,0
AUDJPY,2024-01-10 00:11:13.798664,97.073,97.094,97.073,0,0
NZDJPY,2024-01-10 00:11:13.798664,90.402,90.437,90.402,0,0
GBPUSD,2024-01-10 00:11:13.798664,1.27021,1.27039,1.27021,0,0
AUDJPY,2024-01-10 00:11:13.798664,97.072,97.094,97.072,0,0
EURJPY,2024-01-10 00:11:13.798664,158.325,158.343,158.325,0,0
GBPUSD,2024-01-10 00:11:13.798664,1.2702,1.27039,1.2702,0,0
EURJPY,2024-01-10 00:11:13.798664,158.325,158.344,158.325,0,0
EURJPY,2024-01-10 00:11:13.798664,158.325,158.345,158.325,0,0
AUDJPY,2024-01-10 00:11:13.798664,97.071,97.094,97.071,0,0
AUDJPY,2024-01-10 00:11:13.798664,97.073,97.095,97.073,0,0
EURJPY,2024-01-10 00:11:13.798664,158.325,158.346,158.325,0,0
EURJPY,2024-01-10 00:11:13.798664,158.325,158.345,158.325,0,0
AUDJPY,2024-01-10 00:11:13.798664,97.072,97.095,97.072,0,0
AUDJPY,2024-01-10 00:11:13.798664,97.071,97.095,97.071,0,0
EURJPY,2024-01-10 00:11:13.798664,158.325,158.344,158.325,0,0
EURJPY,2024-01-10 00:11:13.798664,158.325,158.345,158.325,0,0
USDJPY,2024-01-10 00:11:13.798664,144.84,144.858,144.84,0,0
EURJPY,2024-01-10 00:11:13.798664,158.33,158.35,158.33,0,0
GBPUSD,2024-01-10 00:11:13.798664,1.27018,1.27038,1.27018,0,0
AUDJPY,2024-01-10 00:11:13.798664,97.072,97.094,97.072,0,0
NZDJPY,2024-01-10 00:11:13.798664,90.403,90.436,90.403,0,0
USDJPY,2024-01-10 00:11:13.798664,144.841,144.86,144.841,0,0
EURJPY,2024-01-10 00:11:13.798664,158.33,158.35,158.33,0,0
AUDJPY,2024-01-10 00:11:13.798664,97.071,97.094,97.071,0,0
NZDJPY,2024-01-10 00:11:13.798664,90.403,90.436,90.403,0,0
EURJPY,2024-01-10 00:11:13.798664,158.329,158.349,158.329,0,0
GBPUSD,2024-01-10 00:11:13.798664,1.27018,1.27037,1.27018,0,0
USDJPY,2024-01-10 00:11:13.798664,144.844,144.861,144.844,0,0
EURJPY,2024-01-10 00:11:13.798664,158.331,158.352,158.331,0,0
GBPUSD,2024-01-10 00:11:13.798664,1.27019,1.27035,1.27019,0,0
AUDJPY,2024-01-10 00:11:13.798664,97.072,97.094,97.072,0,0
NZDJPY,2024-01-10 00:11:13.798664,90.403,90.437,90.403,0,0
USDJPY,2024-01-10 00:11:13.798664,144.841,144.86,144.841,0,0
EURJPY,2024-01-10 00:11:13.798664,158.333,158.353,158.333,0,0
GBPUSD,2024-01-10 00:11:13.798664,1.2702,1.27035,1.2702,0,0
AUDJPY,2024-01-10 00:11:13.798664,97.073,97.095,97.073,0,0
NZDJPY,2024-01-10 00:11:13.798664,90.402,90.437,90.402,0,0
USDJPY,2024-01-10 00:11:13.798664,144.842,144.862,144.842,0,0
EURJPY,2024-01-10 00:11:13.798664,158.333,158.354,158.333,0,0
