order | dailybreakout @ EURUSD,60 | Order sent: Sell EURUSD Magic #1792109
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=1 SL=1.14003000
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=1 SL=1.14003000 TP=1.13203000
order | dailybreakout @ EURUSD,60 | Orders closed by duration: EURUSD Magic #1792109
order | dailybreakout @ EURUSD,60 | Order sent: Sell EURUSD Magic #1792109
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=2 SL=1.13959000
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=2 SL=1.13959000 TP=1.13159000
order | dailybreakout @ EURUSD,60 | Orders closed by duration: EURUSD Magic #1792109
order | dailybreakout @ EURUSD,60 | Order sent: Sell EURUSD Magic #1792109
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=3 SL=1.11032000
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=3 SL=1.11032000 TP=1.10232000
order | dailybreakout @ EURUSD,60 | Order sent: Sell EURUSD Magic #1792109
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=4 SL=1.09825000
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=4 SL=1.09825000 TP=1.09025000
order | dailybreakout @ EURUSD,60 | Orders closed by duration: EURUSD Magic #1792109
order | dailybreakout @ EURUSD,60 | Order sent: Sell EURUSD Magic #1792109
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=5 SL=1.09045000
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=5 SL=1.09045000 TP=1.08245000
order | dailybreakout @ EURUSD,60 | Orders closed by duration: EURUSD Magic #1792109
order | dailybreakout @ EURUSD,60 | Order sent: Sell EURUSD Magic #1792109
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=6 SL=1.08456000
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=6 SL=1.08456000 TP=1.07656000
order | dailybreakout @ EURUSD,60 | Orders closed by duration: EURUSD Magic #1792109
order | dailybreakout @ EURUSD,60 | Order sent: Buy EURUSD Magic #1792109
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=1 SL=1.13447000
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=1 SL=1.13447000 TP=1.14247000
order | dailybreakout @ EURUSD,60 | Orders closed by duration: EURUSD Magic #1792109
order | dailybreakout @ EURUSD,60 | Order sent: Sell EURUSD Magic #1792109
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=2 SL=1.13959000
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=2 SL=1.13959000 TP=1.13159000
order | dailybreakout @ EURUSD,60 | Orders closed by duration: EURUSD Magic #1792109
order | dailybreakout @ EURUSD,60 | Order sent: Buy EURUSD Magic #1792109
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=3 SL=1.10862000
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=3 SL=1.10862000 TP=1.11662000
order | dailybreakout @ EURUSD,60 | Orders closed by duration: EURUSD Magic #1792109
order | dailybreakout @ EURUSD,60 | Order sent: Sell EURUSD Magic #1792109
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=4 SL=1.11032000
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=4 SL=1.11032000 TP=1.10232000
order | dailybreakout @ EURUSD,60 | Order sent: Sell EURUSD Magic #1792109
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=5 SL=1.09825000
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=5 SL=1.09825000 TP=1.09025000
order | dailybreakout @ EURUSD,60 | Orders closed by duration: EURUSD Magic #1792109
order | dailybreakout @ EURUSD,60 | Order sent: Buy EURUSD Magic #1792109
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=6 SL=1.09837000
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=6 SL=1.09837000 TP=1.10637000
order | dailybreakout @ EURUSD,60 | Orders closed by duration: EURUSD Magic #1792109
order | dailybreakout @ EURUSD,60 | Order sent: Buy EURUSD Magic #1792109
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=7 SL=1.09596000
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=7 SL=1.09596000 TP=1.10396000
order | dailybreakout @ EURUSD,60 | Orders closed by duration: EURUSD Magic #1792109
order | dailybreakout @ EURUSD,60 | Order sent: Buy EURUSD Magic #1792109
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=8 SL=1.08793000
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=8 SL=1.08793000 TP=1.09593000
order | dailybreakout @ EURUSD,60 | Orders closed by duration: EURUSD Magic #1792109
order | dailybreakout @ EURUSD,60 | Order sent: Sell EURUSD Magic #1792109
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=9 SL=1.09045000
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=9 SL=1.09045000 TP=1.08245000
order | dailybreakout @ EURUSD,60 | Orders closed by duration: EURUSD Magic #1792109
order | dailybreakout @ EURUSD,60 | Order sent: Buy EURUSD Magic #1792109
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=10 SL=1.07800000
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=10 SL=1.07800000 TP=1.08600000
order | dailybreakout @ EURUSD,60 | Orders closed by duration: EURUSD Magic #1792109
order | dailybreakout @ EURUSD,60 | Order sent: Sell EURUSD Magic #1792109
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=11 SL=1.08456000
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=11 SL=1.08456000 TP=1.07656000
order | dailybreakout @ EURUSD,60 | Orders closed by duration: EURUSD Magic #1792109
order | dailybreakout @ EURUSD,60 | Order sent: Sell EURUSD Magic #1792109
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=1 SL=1.14101000
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=1 SL=1.14101000 TP=1.13301000
order | dailybreakout @ EURUSD,60 | Orders closed by duration: EURUSD Magic #1792109
order | dailybreakout @ EURUSD,60 | Order sent: Sell EURUSD Magic #1792109
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=2 SL=1.14092000
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=2 SL=1.14092000 TP=1.13292000
order | dailybreakout @ EURUSD,60 | Orders closed by duration: EURUSD Magic #1792109
order | dailybreakout @ EURUSD,60 | Order sent: Sell EURUSD Magic #1792109
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=3 SL=1.14151000
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=3 SL=1.14151000 TP=1.13351000
order | dailybreakout @ EURUSD,60 | Orders closed by duration: EURUSD Magic #1792109
order | dailybreakout @ EURUSD,60 | Order sent: Sell EURUSD Magic #1792109
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=4 SL=1.14102000
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=4 SL=1.14102000 TP=1.13302000
order | dailybreakout @ EURUSD,60 | Orders closed by duration: EURUSD Magic #1792109
order | dailybreakout @ EURUSD,60 | Order sent: Sell EURUSD Magic #1792109
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=5 SL=1.14083000
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=5 SL=1.14083000 TP=1.13283000
order | dailybreakout @ EURUSD,60 | Orders closed by duration: EURUSD Magic #1792109
order | dailybreakout @ EURUSD,60 | Order sent: Sell EURUSD Magic #1792109
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=6 SL=1.14129000
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=6 SL=1.14129000 TP=1.13329000
order | dailybreakout @ EURUSD,60 | Orders closed by duration: EURUSD Magic #1792109
order | dailybreakout @ EURUSD,60 | Order sent: Buy EURUSD Magic #1792109
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=7 SL=1.08128000
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=7 SL=1.08128000 TP=1.08928000
order | dailybreakout @ EURUSD,60 | Orders closed by duration: EURUSD Magic #1792109
order | dailybreakout @ EURUSD,60 | Order sent: Buy EURUSD Magic #1792109
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=8 SL=1.08149000
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=8 SL=1.08149000 TP=1.08949000
order | dailybreakout @ EURUSD,60 | Orders closed by duration: EURUSD Magic #1792109
order | dailybreakout @ EURUSD,60 | Order sent: Buy EURUSD Magic #1792109
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=9 SL=1.08403000
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=9 SL=1.08403000 TP=1.09203000
order | dailybreakout @ EURUSD,60 | Orders closed by duration: EURUSD Magic #1792109
order | dailybreakout @ EURUSD,60 | Order sent: Buy EURUSD Magic #1792109
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=10 SL=1.08489000
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=10 SL=1.08489000 TP=1.09289000
order | dailybreakout @ EURUSD,60 | Orders closed by duration: EURUSD Magic #1792109
order | dailybreakout @ EURUSD,60 | Order sent: Buy EURUSD Magic #1792109
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=11 SL=1.08463000
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=11 SL=1.08463000 TP=1.09263000
order | dailybreakout @ EURUSD,60 | Orders closed by duration: EURUSD Magic #1792109
order | dailybreakout @ EURUSD,60 | Order sent: Buy EURUSD Magic #1792109
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=12 SL=1.08427000
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=12 SL=1.08427000 TP=1.09227000
order | dailybreakout @ EURUSD,60 | Orders closed by duration: EURUSD Magic #1792109
order | dailybreakout @ EURUSD,60 | Order sent: Buy EURUSD Magic #1792109
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=13 SL=1.08401000
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=13 SL=1.08401000 TP=1.09201000
order | dailybreakout @ EURUSD,60 | Orders closed by duration: EURUSD Magic #1792109
order | dailybreakout @ EURUSD,60 | Order sent: Buy EURUSD Magic #1792109
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=14 SL=1.08320000
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=14 SL=1.08320000 TP=1.09120000
order | dailybreakout @ EURUSD,60 | Orders closed by duration: EURUSD Magic #1792109
order | dailybreakout @ EURUSD,60 | Order sent: Buy EURUSD Magic #1792109
modify | dailybreakout @ EURUSD,60 | Order modified: ticket=15 SL=1.08275000
