order | CRYPTOHPPER @ AUDUSD,60 | Order(Buying orders) not sent, maximum spread 0.00050 exceeded
order | CRYPTOHPPER @ AUDUSD,60 | Order(Buying orders) not sent, maximum spread 0.00050 exceeded
order | CRYPTOHPPER @ AUDUSD,60 | Order(Buying orders) not sent, maximum spread 0.00050 exceeded
order | CRYPTOHPPER @ AUDUSD,60 | Order(Buying orders) not sent, maximum spread 0.00050 exceeded
order | CRYPTOHPPER @ AUDUSD,60 | Order(Buying orders) not sent, maximum spread 0.00050 exceeded
order | CRYPTOHPPER @ AUDUSD,60 | Order(Buying orders) not sent, maximum spread 0.00050 exceeded
order | CRYPTOHPPER @ AUDUSD,60 | Order(Buying orders) not sent, maximum spread 0.00050 exceeded
order | CRYPTOHPPER @ AUDUSD,60 | Order(Buying orders) not sent, maximum spread 0.00050 exceeded
order | CRYPTOHPPER @ AUDUSD,60 | Order(Buying orders) not sent, maximum spread 0.00050 exceeded
order | CRYPTOHPPER @ AUDUSD,60 | Order(Buying orders) not sent, maximum spread 0.00050 exceeded
order | CRYPTOHPPER @ AUDUSD,60 | Order(Buying orders) not sent, maximum spread 0.00050 exceeded
order | CRYPTOHPPER @ AUDUSD,60 | Order(Buying orders) not sent, maximum spread 0.00050 exceeded
order | CRYPTOHPPER @ AUDUSD,60 | Order(Buying orders) not sent, maximum spread 0.00050 exceeded
order | CRYPTOHPPER @ AUDUSD,60 | Order(Buying orders) not sent, maximum spread 0.00050 exceeded
order | CRYPTOHPPER @ AUDUSD,60 | Order(Buying orders) not sent, maximum spread 0.00050 exceeded
order | CRYPTOHPPER @ AUDUSD,60 | Order(Buying orders) not sent, maximum spread 0.00050 exceeded
order | CRYPTOHPPER @ AUDUSD,60 | Order(Buying orders) not sent, maximum spread 0.00050 exceeded
order | CRYPTOHPPER @ AUDUSD,60 | Order(Buying orders) not sent, maximum spread 0.00050 exceeded
order | CRYPTOHPPER @ AUDUSD,60 | Order(Buying orders) not sent, maximum spread 0.00050 exceeded
order | CRYPTOHPPER @ EURUSD,60 | Order sent(Buying orders): Buy Stop EURUSD Magic #745022
modify | CRYPTOHPPER @ EURUSD,60 | Order modified: ticket=1 SL=1.19850000
modify | CRYPTOHPPER @ EURUSD,60 | Order modified: ticket=1 SL=1.19850000 TP=1.21850000
order | CRYPTOHPPER @ EURUSD,60 | Orders deleted by distance: EURUSD Magic #745022
order | CRYPTOHPPER @ EURUSD,60 | Order sent(Buying orders): Sell Stop EURUSD Magic #745022
modify | CRYPTOHPPER @ EURUSD,60 | Order modified: ticket=2 SL=1.17713000
modify | CRYPTOHPPER @ EURUSD,60 | Order modified: ticket=2 SL=1.17713000 TP=1.15713000
order | CRYPTOHPPER @ EURUSD,60 | Orders deleted by distance: EURUSD Magic #745022
order | CRYPTOHPPER @ EURUSD,60 | Order sent(Buying orders): Buy Stop EURUSD Magic #745022
modify | CRYPTOHPPER @ EURUSD,60 | Order modified: ticket=3 SL=1.19539000
modify | CRYPTOHPPER @ EURUSD,60 | Order modified: ticket=3 SL=1.19539000 TP=1.21539000
order | CRYPTOHPPER @ EURUSD,60 | Orders deleted by distance: EURUSD Magic #745022
order | CRYPTOHPPER @ EURUSD,60 | Order sent(Buying orders): Buy Stop EURUSD Magic #745022
modify | CRYPTOHPPER @ EURUSD,60 | Order modified: ticket=4 SL=1.19578000
modify | CRYPTOHPPER @ EURUSD,60 | Order modified: ticket=4 SL=1.19578000 TP=1.21578000
order | CRYPTOHPPER @ EURUSD,60 | Orders deleted by distance: EURUSD Magic #745022
order | CRYPTOHPPER @ EURUSD,60 | Order sent(Buying orders): Sell Stop EURUSD Magic #745022
modify | CRYPTOHPPER @ EURUSD,60 | Order modified: ticket=5 SL=1.17447000
modify | CRYPTOHPPER @ EURUSD,60 | Order modified: ticket=5 SL=1.17447000 TP=1.15447000
order | CRYPTOHPPER @ EURUSD,60 | Orders deleted by distance: EURUSD Magic #745022
order | CRYPTOHPPER @ EURUSD,60 | Order sent(Buying orders): Buy Stop EURUSD Magic #745022
modify | CRYPTOHPPER @ EURUSD,60 | Order modified: ticket=6 SL=1.19559000
modify | CRYPTOHPPER @ EURUSD,60 | Order modified: ticket=6 SL=1.19559000 TP=1.21559000
order | CRYPTOHPPER @ EURUSD,60 | Orders deleted by distance: EURUSD Magic #745022
