order | Expert_Trader @ EURUSD,30 | Order sent: Buy EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=1 SL=1.16998000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=1 SL=1.16998000 TP=1.18998000
order | Expert_Trader @ EURUSD,30 | Order sent: Buy EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=2 SL=1.17004000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=2 SL=1.17004000 TP=1.19004000
order | Expert_Trader @ EURUSD,30 | Order sent: Buy EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=3 SL=1.16973000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=3 SL=1.16973000 TP=1.18973000
order | Expert_Trader @ EURUSD,30 | Order sent: Buy EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=4 SL=1.16986000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=4 SL=1.16986000 TP=1.18986000
order | Expert_Trader @ EURUSD,30 | Order sent: Buy EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=5 SL=1.16979000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=5 SL=1.16979000 TP=1.18979000
order | Expert_Trader @ EURUSD,30 | Order sent: Buy EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=6 SL=1.16998000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=6 SL=1.16998000 TP=1.18998000
order | Expert_Trader @ EURUSD,30 | Order sent: Buy EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=7 SL=1.16976000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=7 SL=1.16976000 TP=1.18976000
order | Expert_Trader @ EURUSD,30 | Order sent: Buy EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=8 SL=1.16963000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=8 SL=1.16963000 TP=1.18963000
order | Expert_Trader @ EURUSD,30 | Order sent: Buy EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=9 SL=1.16951000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=9 SL=1.16951000 TP=1.18951000
order | Expert_Trader @ EURUSD,30 | Order sent: Buy EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=10 SL=1.16928000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=10 SL=1.16928000 TP=1.18928000
order | Expert_Trader @ EURUSD,30 | Order sent: Buy EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=11 SL=1.16940000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=11 SL=1.16940000 TP=1.18940000
order | Expert_Trader @ EURUSD,30 | Order sent: Buy EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=12 SL=1.16892000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=12 SL=1.16892000 TP=1.18892000
order | Expert_Trader @ EURUSD,30 | Order sent: Buy EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=13 SL=1.16904000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=13 SL=1.16904000 TP=1.18904000
order | Expert_Trader @ EURUSD,30 | Order sent: Buy EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=14 SL=1.16845000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=14 SL=1.16845000 TP=1.18845000
order | Expert_Trader @ EURUSD,30 | Order sent: Buy EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=15 SL=1.16869000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=15 SL=1.16869000 TP=1.18869000
order | Expert_Trader @ EURUSD,30 | Order sent: Buy EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=16 SL=1.16857000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=16 SL=1.16857000 TP=1.18857000
order | Expert_Trader @ EURUSD,30 | Order sent: Buy EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=17 SL=1.16892000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=17 SL=1.16892000 TP=1.18892000
order | Expert_Trader @ EURUSD,30 | Order sent: Buy EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=18 SL=1.16884000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=18 SL=1.16884000 TP=1.18884000
order | Expert_Trader @ EURUSD,30 | Order sent: Buy EURUSD Magic #123603
